t,yA,yT
0.366,0.7654355192163013,0.7649750959494109
0.367,0.7643149216161687,0.7638544640826085
0.368,0.7631929073112361,0.7627324229227112
0.369,0.762069487351674,0.7616089835095763
0.37,0.760944672788343,0.7604841568835896
0.371,0.7598184746726162,0.759357954085487
0.372,0.7586909040562021,0.7582303861561783
0.373,0.7575619719909664,0.7571014641365702
0.374,0.756431689528756,0.7559711990673895
0.375,0.7553000677212209,0.7548396019890073
0.376,0.7541671176196391,0.7537066839412626
0.377,0.7530328502747391,0.752572455963287
0.378,0.7518972767365248,0.7514369290933288
0.379,0.7507604080540993,0.7503001143685784
0.38,0.7496222552754892,0.7491620228249927
0.381,0.7484828294474705,0.7480226654971215
0.382,0.7473421416153925,0.7468820534179323
0.383,0.7462002028230041,0.7457401976186369
0.384,0.7450570241122793,0.7445971091285172
0.385,0.7439126165232428,0.7434527989747526
0.386,0.7427669910937971,0.7423072781822461
0.387,0.7416201588595482,0.7411605577734518
0.388,0.7404721308536336,0.740012648768203
0.389,0.7393229181065488,0.7388635621835391
0.39,0.7381725316459751,0.7377133090335346
0.391,0.7370209824966073,0.7365619003291272
0.392,0.7358682816799826,0.7354093470779466
0.393,0.7347144402143084,0.7342556602841442
0.394,0.7335594691142915,0.7331008509482221
0.395,0.7324033793909673,0.7319449300668628
0.396,0.7312461820515296,0.7307879086327602
0.397,0.7300878880991599,0.7296297976344492
0.398,0.7289285085328585,0.7284706080561375
0.399,0.7277680543472742,0.727310350877536
0.4,0.7266065365325359,0.7261490370736908
0.401,0.7254439660740839,0.7249866776148157
0.402,0.7242803539525011,0.7238232834661233
0.403,0.7231157111433455,0.722658865587659
0.404,0.7219500486169824,0.7214934349341331
0.405,0.7207833773384174,0.7203270024547548
0.406,0.7196157082671291,0.7191595790930658
0.40700000000000003,0.7184470523569032,0.7179911757867746
0.40800000000000003,0.7172774205556661,0.7168218034675911
0.40900000000000003,0.7161068238053193,0.7156514730610614
0.41000000000000003,0.7149352730415738,0.7144801954864034
0.41100000000000003,0.7137627791937856,0.7133079816563426
0.41200000000000003,0.712589353184791,0.7121348424769479
0.41300000000000003,0.7114150059307425,0.7109607888474687
0.41400000000000003,0.7102397483409448,0.7097858316601713
0.41500000000000004,0.7090635913176923,0.7086099818001768
0.41600000000000004,0.7078865457561049,0.7074332501452983
0.417,0.7067086225439667,0.7062556475658802
0.418,0.7055298325615634,0.7050771849246351
0.419,0.7043501866815205,0.7038978730764845
0.42,0.7031696957686423,0.7027177228683977
0.421,0.701988370679751,0.7015367451392309
0.422,0.7008062222635263,0.700354950719569
0.423,0.6996232613603455,0.699172350431565
0.424,0.6984394988021237,0.697988955088782
0.425,0.6972549454121554,0.6968047754960348
0.426,0.6960696120049548,0.6956198224492314
0.427,0.6948835093860983,0.6944341067352162
0.428,0.6936966483520669,0.6932476391316126
0.429,0.6925090396900881,0.6920604304066663
0.43,0.6913206941779799,0.6908724913190898
0.431,0.6901316225839937,0.6896838326179059
0.432,0.6889418356666589,0.6884944650422932
0.433,0.6877513441746269,0.6873043993214308
0.434,0.6865601588465164,0.6861136461743447
0.435,0.6853682904107589,0.684922216309753
0.436,0.6841757495854441,0.683730120425914
0.437,0.6829825470781671,0.6825373692104714
0.438,0.6817886935858745,0.681343973340304
0.439,0.680594199794712,0.6801499434813724
0.44,0.6793990763798725,0.6789552902885679
0.441,0.678203334005444,0.677760024405562
0.442,0.6770069833242583,0.6765641564646553
0.443,0.6758100349777411,0.675367697086628
0.444,0.6746124995957605,0.6741706568805904
0.445,0.6734143877964784,0.6729730464438339
0.446,0.6722157101862007,0.6717748763616823
0.447,0.6710164773592285,0.6705761572073443
0.448,0.6698166998977102,0.6693768995417656
0.449,0.6686163883714935,0.6681771139134823
0.45,0.6674155533379783,0.6669768108584744
0.451,0.66621420534197,0.6657760009000195
0.452,0.665012354915533,0.6645746945485481
0.453,0.6638100125778458,0.6633729023014981
0.454,0.6626071888350548,0.6621706346431707
0.455,0.6614038941801303,0.6609679020445866
0.456,0.6602001390927225,0.6597647149633424
0.457,0.6589959340390174,0.6585610838434683
0.458,0.657791289471594,0.6573570191152854
0.459,0.6565862158292821,0.6561525311952642
0.46,0.6553807235370196,0.6549476304858832
0.461,0.6541748230057115,0.6537423273754887
0.462,0.652968524632089,0.6525366322381542
0.463,0.6517618387985689,0.6513305554335409
0.464,0.6505547758731139,0.6501241073067593
0.465,0.6493473462090934,0.6489172981882296
0.466,0.6481395601451445,0.6477101383935451
0.467,0.646931428005034,0.6465026382233333
0.468,0.6457229600975206,0.6452948079631208
0.46900000000000003,0.6445141667162181,0.6440866578831955
0.47000000000000003,0.6433050581394585,0.642878198238472
0.47100000000000003,0.6420956446301563,0.6416694392683557
0.47200000000000003,0.6408859364356732,0.6404603911966089
0.47300000000000003,0.6396759437876826,0.6392510642312159
0.47400000000000003,0.6384656769020363,0.6380414685642507
0.47500000000000003,0.63725514597863,0.6368316143717431
0.47600000000000003,0.6360443612012706,0.6356215118135469
0.47700000000000004,0.6348333327375434,0.634411171033208
0.47800000000000004,0.6336220707386802,0.6332006021578336
0.47900000000000004,0.6324105853394278,0.6319898152979609
0.48,0.6311988866579175,0.6307788205474283
0.481,0.6299869847955343,0.6295676279832442
0.482,0.6287748898367876,0.6283562476654599
0.483,0.6275626118491823,0.6271446896370407
0.484,0.6263501608830897,0.6259329639237379
0.485,0.62513754697162,0.6247210805339621
0.486,0.6239247801304951,0.6235090494586568
0.487,0.6227118703579214,0.6222968806711722
0.488,0.6214988276344642,0.6210845841271403
0.489,0.6202856619229217,0.6198721697643498
0.49,0.6190723831682005,0.6186596475026225
0.491,0.6178590012971907,0.6174470272436892
0.492,0.6166455262186431,0.6162343188710672
0.493,0.6154319678230448,0.6150215322499383
0.494,0.6142183359824978,0.6138086772270264
0.495,0.6130046405505963,0.6125957636304771
0.496,0.6117908913623061,0.6113828012697368
0.497,0.6105770982338433,0.6101697999354329
0.498,0.6093632709625545,0.608956769399255
0.499,0.6081494193267971,0.6077437194138359
0.5,0.6069355530858208,0.6065306597126334
